task,rel_path,result,refinements,wall_s,log
AliasDarteFeautrierGonnord-SAS2010-easy2-2,AliasDarteFeautrierGonnord-SAS2010-easy2-2.c,TRUE,0,1.428,output/vguide/experiments/termination_scalar_300_stock/logs/AliasDarteFeautrierGonnord-SAS2010-easy2-2.log
AliasDarteFeautrierGonnord-SAS2010-cousot9,AliasDarteFeautrierGonnord-SAS2010-cousot9.c,TRUE,0,1.558,output/vguide/experiments/termination_scalar_300_stock/logs/AliasDarteFeautrierGonnord-SAS2010-cousot9.log
AliasDarteFeautrierGonnord-SAS2010-easy1,AliasDarteFeautrierGonnord-SAS2010-easy1.c,TRUE,0,1.567,output/vguide/experiments/termination_scalar_300_stock/logs/AliasDarteFeautrierGonnord-SAS2010-easy1.log
AliasDarteFeautrierGonnord-SAS2010-loops,AliasDarteFeautrierGonnord-SAS2010-loops.c,TRUE,0,1.783,output/vguide/experiments/termination_scalar_300_stock/logs/AliasDarteFeautrierGonnord-SAS2010-loops.log
AliasDarteFeautrierGonnord-SAS2010-nestedLoop-1,AliasDarteFeautrierGonnord-SAS2010-nestedLoop-1.c,TRUE,0,1.903,output/vguide/experiments/termination_scalar_300_stock/logs/AliasDarteFeautrierGonnord-SAS2010-nestedLoop-1.log
AliasDarteFeautrierGonnord-SAS2010-random1d-2,AliasDarteFeautrierGonnord-SAS2010-random1d-2.c,TRUE,0,1.135,output/vguide/experiments/termination_scalar_300_stock/logs/AliasDarteFeautrierGonnord-SAS2010-random1d-2.log
AliasDarteFeautrierGonnord-SAS2010-speedpldi2,AliasDarteFeautrierGonnord-SAS2010-speedpldi2.c,UNKNOWN,0,1.244,output/vguide/experiments/termination_scalar_300_stock/logs/AliasDarteFeautrierGonnord-SAS2010-speedpldi2.log
AliasDarteFeautrierGonnord-SAS2010-random2d,AliasDarteFeautrierGonnord-SAS2010-random2d.c,TRUE,0,1.205,output/vguide/experiments/termination_scalar_300_stock/logs/AliasDarteFeautrierGonnord-SAS2010-random2d.log
AliasDarteFeautrierGonnord-SAS2010-speedpldi4,AliasDarteFeautrierGonnord-SAS2010-speedpldi4.c,UNKNOWN,0,0.940,output/vguide/experiments/termination_scalar_300_stock/logs/AliasDarteFeautrierGonnord-SAS2010-speedpldi4.log
AliasDarteFeautrierGonnord-SAS2010-speedpldi3,AliasDarteFeautrierGonnord-SAS2010-speedpldi3.c,TRUE,0,1.529,output/vguide/experiments/termination_scalar_300_stock/logs/AliasDarteFeautrierGonnord-SAS2010-speedpldi3.log
AliasDarteFeautrierGonnord-SAS2010-wcet2,AliasDarteFeautrierGonnord-SAS2010-wcet2.c,TRUE,0,1.078,output/vguide/experiments/termination_scalar_300_stock/logs/AliasDarteFeautrierGonnord-SAS2010-wcet2.log
AliasDarteFeautrierGonnord-SAS2010-while2,AliasDarteFeautrierGonnord-SAS2010-while2.c,TRUE,0,1.227,output/vguide/experiments/termination_scalar_300_stock/logs/AliasDarteFeautrierGonnord-SAS2010-while2.log
AliasDarteFeautrierGonnord-SAS2010-wise,AliasDarteFeautrierGonnord-SAS2010-wise.c,TRUE,0,1.238,output/vguide/experiments/termination_scalar_300_stock/logs/AliasDarteFeautrierGonnord-SAS2010-wise.log
Avery-FLOPS2006-Table1,Avery-FLOPS2006-Table1.c,TRUE,0,1.282,output/vguide/experiments/termination_scalar_300_stock/logs/Avery-FLOPS2006-Table1.log
BradleyMannaSipma-CAV2005-Fig1-modified,BradleyMannaSipma-CAV2005-Fig1-modified.c,FALSE,0,0.835,output/vguide/experiments/termination_scalar_300_stock/logs/BradleyMannaSipma-CAV2005-Fig1-modified.log
BradleyMannaSipma-CAV2005-Fig1,BradleyMannaSipma-CAV2005-Fig1.c,UNKNOWN,0,0.829,output/vguide/experiments/termination_scalar_300_stock/logs/BradleyMannaSipma-CAV2005-Fig1.log
BrockschmidtCookFuhs-CAV2013-Introduction,BrockschmidtCookFuhs-CAV2013-Introduction.c,TRUE,0,1.030,output/vguide/experiments/termination_scalar_300_stock/logs/BrockschmidtCookFuhs-CAV2013-Introduction.log
